Referencia;ReferenciaLosa;ReferenciaLosaBloqueo;Uso;ModoDeInstalación;Fabricante;Modelo;Ancho;GROSOR;longitud;Rotación;Reserva;NCapa;HCapa;NombreDelLocal;Forma;CargaMáx;OrdenLosa;RadioCurvatura;Puntos;NombreDelLocalLosa
18307894;;1;LV1B;;;KSBE_E_Ladder_FRP_Internal_Riser;;102;;;;;;;0;;;;176.062 2.768 136.939|176.062 2.416 137.291;
18307734;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;176.886 3.721 136.939|177.262 3.345 136.939;
18307727;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Tee;;102;;;;;;;0;;;;176.062 3.345 136.939|176.062 3.721 136.939|176.813 3.721 136.939|176.062 3.721 136.939|176.062 4.097 136.939;
18307568;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;177.262 2.441 136.939|176.886 2.065 136.939;
18307483;;1;LV1B;;;KSBE_E_Ladder_FRP_External_Riser;;102;;;;;;;0;;;;175.569 2.065 136.587|175.921 2.065 136.939;
18307102;;1;LV1B;;;KSBE_E_Ladder_FRP_Internal_Riser;;102;;;;;;;0;;;;175.217 2.065 131.030|175.569 2.065 131.382;
18307008;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;174.280 2.441 131.030|174.656 2.065 131.030;
18306865;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;174.280 4.189 131.030|173.904 4.565 131.030;
18306689;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;173.775 4.565 131.030|173.399 4.941 131.030;
18279183;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Tee;;102;;;;;;;0;;;;151.224 1.843 126.267|151.224 1.492 126.267|151.575 1.492 126.267|151.224 1.492 126.267|151.224 1.141 126.267;
18277763;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;151.224 1.341 119.267|151.375 1.492 119.267;
18277752;;1;LV1B;;;KSBE_E_Ladder_FRP_Internal_Riser;;102;;;;;;;0;;;;151.224 0.810 119.267|151.224 0.658 119.419;
18277711;;1;LV1B;;;KSBE_E_Ladder_FRP_External_Riser;;102;;;;;;;0;;;;151.224 0.658 126.115|151.224 0.810 126.267;
18270029;;1;LV1B;;;KSBE_E_Ladder_FRP_Internal_Riser;;102;;;;;;;0;;;;150.916 2.406 126.421|151.070 2.406 126.267;
18270027;;1;LV1B;;;KSBE_E_Ladder_FRP_External_Riser;;102;;;;;;;0;;;;150.937 2.406 130.116|150.916 2.406 130.037;
18269935;;1;LV1B;;;KSBE_E_Ladder_FRP_External_Riser;;102;;;;;;;0;;;;151.045 2.406 130.903|151.066 2.406 130.824;
18269933;;1;LV1B;;;KSBE_E_Ladder_FRP_Internal_Riser;;102;;;;;;;0;;;;151.045 2.406 130.303|151.066 2.406 130.381;
18269843;;1;LV1B;;;KSBE_E_Ladder_FRP_Internal_Riser;;102;;;;;;;0;;;;150.937 2.406 131.090|150.916 2.406 131.168;
18269759;;1;LV1B;;;KSBE_E_Ladder_FRP_External_Riser;;102;;;;;;;0;;;;151.068 2.406 136.939|150.916 2.406 136.787;
18269309;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;151.224 2.255 126.267|151.073 2.406 126.267;
18268632;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;151.663 2.557 136.939|151.512 2.406 136.939;
18263456;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;176.058 2.924 153.960|176.058 2.474 153.960;
17447712;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;175.841 4.629 136.939|176.062 4.097 136.939;
17447638;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;175.080 5.390 136.939|174.860 5.922 136.939;
17447496;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;176.141 2.940 140.678|176.141 2.490 140.678;
17447317;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;176.062 2.940 143.446|176.062 2.490 143.446;
17447258;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;176.062 2.416 144.238|176.062 2.416 143.788;
17447235;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;151.663 8.941 136.939|151.663 8.491 136.939;
17446917;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;176.786 6.563 140.678|176.786 7.013 140.678;
17446909;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;157.182 5.068 140.678|157.632 5.068 140.678;
17446554;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;172.227 2.644 143.446|172.578 2.995 143.446;
17446439;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;175.236 3.471 143.446|175.686 3.471 143.446;
17446224;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;176.062 2.919 150.340|176.062 2.469 150.340;
17445789;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;176.067 2.480 161.266|176.067 2.930 161.266;
17445787;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;176.067 3.114 161.266|176.170 3.363 161.266;
17445772;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;176.185 3.378 161.266|176.288 3.627 161.266;
17445501;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;176.058 2.477 157.476|176.058 2.927 157.476;
17445219;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;168.478 7.712 153.960|168.928 7.712 153.960;
17445109;;1;LV1B;;;KSBE_E_Ladder_FRP_Reducer;;102;;;;;;;0;;;;176.058 8.042 153.960|176.058 7.592 153.960;
17337893;;1;LV1B;;;KSBE_E_Ladder_HDG_Internal_Riser;;100;;;;;;;0;;;;174.860 14.545 136.127|174.860 14.666 136.248;
17337816;;1;LV1B;;;KSBE_E_Ladder_HDG_Horizontal_Bend;;100;;;;;;;0;;;;175.611 16.120 136.587|174.860 15.369 136.587;
17337814;;1;LV1B;;;KSBE_E_Ladder_HDG_External_Riser;;100;;;;;;;0;;;;174.860 14.666 136.466|174.860 14.787 136.587;
17333130;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Tee;;102;;;;;;;0;;;;174.860 7.451 136.939|174.860 6.850 136.939|174.109 6.850 136.939|174.860 6.850 136.939|174.860 6.249 136.939;
16880189;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;170.167 7.822 153.960|169.900 7.712 153.960;
16879628;;1;LV1B;;;FRP_HDG transition;0,9;0,11;;;;;;;0;;;;174.860 11.287 136.127|174.860 11.187 136.122;
16657051;;1;LV1B;;;KSBE_E_Ladder_HDG_Internal_Riser;;100;;;;;;;0;;;;206.012 54.695 126.301|206.012 55.346 126.952;
16240290;;1;LV1B;;;KSBE_E_Ladder_HDG_Reducer;;100;;;;;;;0;;;;206.012 55.346 144.699|206.012 55.346 144.199;
16240289;;1;LV1B;;;KSBE_E_Ladder_HDG_External_Riser;;100;;;;;;;0;;;;206.012 55.346 144.699|206.012 55.697 145.050;
15418219;;1;LV1B;;;KSBE_E_Ladder_FRP_Internal_Riser;;102;;;;;;;0;;;;174.860 10.680 136.474|174.860 11.032 136.122;
14355699;;1;LV1B;;;KSBE_E_Ladder_HDG_Horizontal_Bend;;100;;;;;;;0;;;;196.686 58.880 143.001|195.935 58.129 143.001;
14355698;;1;LV1B;;;KSBE_E_Ladder_HDG_Horizontal_Bend;;100;;;;;;;0;;;;196.156 43.635 143.001|195.935 44.167 143.001;
14352023;;1;LV1B;;;KSBE_E_Ladder_HDG_External_Riser;;100;;;;;;;0;;;;196.945 18.968 145.050|196.945 18.617 144.699;
14352021;;1;LV1B;;;KSBE_E_Ladder_HDG_External_Riser;;100;;;;;;;0;;;;196.945 41.054 145.050|196.945 41.405 144.699;
14352004;;1;LV1B;;;KSBE_E_Ladder_HDG_Horizontal_Bend;;100;;;;;;;0;;;;196.725 43.066 143.001|196.945 42.534 143.001;
14352002;;1;LV1B;;;KSBE_E_Ladder_HDG_Internal_Riser;;100;;;;;;;0;;;;196.945 41.756 143.001|196.945 41.405 143.352;
14351534;;1;LV1B;;;KSBE_E_Ladder_HDG_Horizontal_Bend;;100;;;;;;;0;;;;205.261 58.880 145.050|206.012 58.129 145.050;
14351531;;1;LV1B;;;KSBE_E_Ladder_HDG_External_Riser;;100;;;;;;;0;;;;200.949 58.880 145.050|200.598 58.880 144.699;
14351519;;1;LV1B;;;KSBE_E_Ladder_HDG_Internal_Riser;;100;;;;;;;0;;;;200.598 58.880 143.352|200.247 58.880 143.001;
14187956;;1;LV1B;;;KSBE_E_Ladder_HDG_External_Riser;;100;;;;;;;0;;;;183.160 16.120 139.375|182.809 16.120 139.024;
14187955;;1;LV1B;;;KSBE_E_Ladder_HDG_Horizontal_Bend;;100;;;;;;;0;;;;190.175 15.369 139.375|189.424 16.120 139.375;
13958463;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;168.741 8.760 136.939|169.061 8.627 136.939;
13958462;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;171.784 8.627 136.939|172.104 8.760 136.939;
13953988;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Tee;;102;;;;;;;0;;;;159.791 9.392 136.939|160.142 9.392 136.939|160.142 9.843 136.939|160.142 9.392 136.939|160.493 9.392 136.939;
13953770;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Tee;;102;;;;;;;0;;;;156.253 9.392 136.939|155.902 9.392 136.939|155.902 9.843 136.939|155.902 9.392 136.939|155.551 9.392 136.939;
13953370;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;152.114 9.392 136.939|151.663 8.941 136.939;
13953281;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;168.242 9.260 136.939|167.922 9.392 136.939;
13950398;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Tee;;102;;;;;;;0;;;;174.464 10.179 161.266|174.113 10.179 161.266|174.113 9.828 161.266|174.113 10.179 161.266|173.762 10.179 161.266;
13949843;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;156.374 5.103 153.960|156.023 5.454 153.960;
13949841;;1;LV1B;;;KSBE_E_Ladder_FRP_Internal_Riser;;102;;;;;;;0;;;;156.023 8.056 154.312|156.023 7.704 153.960;
13949690;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;156.023 8.787 157.668|156.374 9.138 157.668;
13949689;;1;LV1B;;;KSBE_E_Ladder_FRP_External_Riser;;102;;;;;;;0;;;;156.023 8.408 157.668|156.023 8.056 157.316;
13949445;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;164.603 5.454 153.960|164.252 5.103 153.960;
13949444;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;164.954 7.712 153.960|164.603 7.361 153.960;
13798256;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;172.839 9.308 136.939|172.519 9.175 136.939;
13797008;;1;LV1B;;;KSBE_E_Ladder_FRP_External_Riser;;102;;;;;;;0;;;;174.860 10.680 136.587|174.860 10.328 136.939;
13794777;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Tee;;102;;;;;;;0;;;;174.860 9.759 136.939|174.860 9.308 136.939|174.109 9.308 136.939|174.860 9.308 136.939|174.860 8.857 136.939;
13782712;;1;LV1B;;;KSBE_E_Ladder_HDG_Internal_Riser;;100;;;;;;;0;;;;182.809 16.120 136.938|182.458 16.120 136.587;
12955084;;1;LV1B;;;KSBE_E_Ladder_FRP_Horizontal_Bend;;102;;;;;;;0;;;;176.141 2.987 140.678|176.317 3.413 140.678;
